"id","code","name","user_type_id/id","group_id/id","reconcile"
"l10n_fr.1_pcg_5311","531100","Caisse en monnaie nationale","account.data_account_type_liquidity","","False"
"l10n_fr.1_pcg_5314","531400","Caisse en devises","account.data_account_type_liquidity","","False"
"l10n_fr.1_pcg_532","532000","Caisse succursale (ou usine) A","account.data_account_type_liquidity","","False"
"l10n_fr.1_pcg_533","533000","Caisse succursale (ou usine) B","account.data_account_type_liquidity","","False"
"l10n_fr.1_pcg_54","540000","Régies d'avances et accréditifs","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_58","580000","Virements Internes","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_5903","590300","Provisions pour dépréciation des actions","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_5904","590400","Provisions pour dépréciation des autres titres conférant un droit de propriété","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_5906","590600","Provisions pour dépréciation des obligations","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_5908","590800","Provisions pour dépréciation des autres valeurs mobilières de placement et créances assimilées (provisions)","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_6011","601100","Achats stockés - Matières premières (ou groupe) A","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6012","601200","Achats stockés - matières premières (ou groupe) B","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6017","601700","Achats stockés - Fournitures A, B, C, ..","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60211","602110","Achats stockés - Matières consommables (ou groupe) C","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60212","602120","Achats stockés - Matières consommables (ou groupe) D","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60221","602210","Achats stockés - Combustibles","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60222","602220","Achats stockés - Produits d'entretien","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60223","602230","Achats stockés - Fournitures d'atelier et d'usine","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60224","602240","Achats stockés - Fournitures de magasin","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60225","602250","Achats stockés - Fournitures de bureau","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60261","602610","Achats stockés - Emballages perdus","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60265","602650","Achats stockés - Emballages récupérables non identifiables","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_60267","602670","Achats stockés - Emballages à usage mixte","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6031","603100","Variation des stocks de matières premières (et fournitures)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6032","603200","Variation des stocks des autres approvisionnements","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6037","603700","Variation des stocks de marchandises","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_604","604000","Achats d'études et prestations de services","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_605","605000","Achats de matériel équipements et travaux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6061","606100","Fournitures non stockables (eau, énergie...)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6063","606300","Fournitures d'entretien et de petit équipement","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6064","606400","Fournitures administratives","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6068","606800","Achats autres matières et fournitures","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6071","607100","Achats de marchandises (ou groupe) A","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6072","607200","Achats de marchandises (ou groupe) B","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_608","608000","Frais accessoires incorporés aux achats","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6091","609100","Rabais, remises et ristournes obtenus sur achats de matières premières (et fournitures)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6092","609200","Rabais, remises et ristournes obtenus sur achats d'autres approvisionnements stockés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6094","609400","Rabais, remises et ristournes obtenus sur achats d'études et prestations de services","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6095","609500","Rabais, remises et ristournes obtenus sur achats de matériel, équipements et travaux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6096","609600","Rabais, remises et ristournes obtenus sur achats d'approvisionnements non stockés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6097","609700","Rabais, remises et ristournes obtenus sur achats de marchandises","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6098","609800","Rabais, remises et ristournes non affectés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_611","611000","Sous-traitance générale","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6122","612200","Redevances de crédit-bail mobilier","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6125","612500","Redevances de crédit-bail immobilier","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6132","613200","Locations immobilières","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6135","613500","Locations mobilières","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6136","613600","Locations malis sur emballages","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_614","614000","Charges locatives et de copropriété","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6152","615200","Entretien et réparations sur biens immobiliers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6155","615500","Entretien et réparations sur biens mobiliers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6156","615600","Maintenance","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6161","616100","Assurance multirisques","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6162","616200","Assurance obligatoire dommage construction","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_61636","616360","Assurance transport sur achats","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_61637","616370","Assurance transport sur ventes","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_61638","616380","Assurance transport sur autres biens","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6164","616400","Assurance risques d'exploitation","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6165","616500","Assurance insolvabilité clients","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_617","617000","Études et recherches","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6181","618100","Documentation générale","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6183","618300","Documentation technique","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6185","618500","Frais de colloques, séminaires, conférences","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_619","619000","Rabais, remises et ristournes obtenus sur services extérieurs","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6211","621100","Personnel intérimaire","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6214","621400","Personnel détaché ou prêté à l'entreprise","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6221","622100","Commissions et courtages sur achats","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6222","622200","Commissions et courtages sur ventes","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6224","622400","Rémunérations des transitaires","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6225","622500","Rémunérations d'affacturage","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6226","622600","Honoraires","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6227","622700","Frais d'actes et de contentieux","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6228","622800","Rémunérations d'intermédiaires et honoraires - Divers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6231","623100","Annonces et insertions","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6232","623200","Échantillons","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6233","623300","Foires et expositions","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6234","623400","Cadeaux à la clientèle","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6235","623500","Primes","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6236","623600","Catalogues et imprimés","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6237","623700","Publications","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6238","623800","Publicité, publications, relations publiques - Divers (pourboires, dons courants...)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6241","624100","Transports sur achats","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6242","624200","Transports sur ventes","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6243","624300","Transports entre établissements ou chantiers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6244","624400","Transports administratifs","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6247","624700","Transports collectifs du personnel","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6248","624800","Transports divers","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6251","625100","Voyages et déplacements","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6255","625500","Frais de déménagement","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6256","625600","Missions","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6257","625700","Réceptions","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_626","626000","Frais postaux et frais de télécommunications","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6271","627100","Frais sur titres (achat, vente, garde)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6272","627200","Commissions et frais sur émission d'emprunts","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6275","627500","Frais sur effets","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6276","627600","Location de coffres","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6278","627800","Autres frais et commissions sur prestations de services","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6281","628100","Concours divers (cotisations...)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6284","628400","Frais de recrutement de personnel","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_629","629000","Rabais, remises et ristournes obtenus sur autres services extérieurs","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6311","631100","Taxe sur les salaires","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6312","631200","Taxe d'apprentissage","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6313","631300","Participation des employeurs à la formation professionnelle continue","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6314","631400","Cotisation pour défaut d'investissement obligatoire dans la construction","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6318","631800","Autres impôts, taxes et versements assimilés sur rémunérations (administrations des impôts)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6331","633100","Versement de transport","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6332","633200","Allocation logement","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6333","633300","Participation des employeurs à la formation professionnelle continue","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6334","633400","Participation des employeurs à l'effort de construction","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6335","633500","Versements libératoires ouvrant droit à l'exonération de la taxe d'apprentissage","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_6338","633800","Autres impôts, taxes et versements assimilés sur rémunérations (autres organismes)","account.data_account_type_expenses","","False"
"l10n_fr.1_pcg_635111","635111","Cotisation foncière des entreprises","account.data_account_type_expenses","","False"
